	tName	tAcc	tLen	qName	qAcc	qLen	eVal	score	bias	domNo	totDom	domCval	domIval	domScor	domBias	hmmStrt	hmmEnd	aliStrt	aliEnd	envStrt	envEnd	envAccu	description	qCov
14	drugbank_target|Q88016	-	1060	tr|Q72874|Q72874_9	-	99	1.9e-41	138.5	0.1	3	3	4.5	1300.0	-2.0	0.1	35	60	1023	1048	1012	1051	0.74	Pol polyprotein (DB07722)	25.25
15	drugbank_target|P04584	-	1464	tr|Q72874|Q72874_9	-	99	8.599999999999999e-41	136.4	1.0	1	2	1e-42	2.8e-40	134.8	0.1	1	98	514	611	514	612	0.99	Gag-Pol polyprotein (DB02428; DB04490; DB07581; DB07634; DB08231; DB08274; DB08286; DB08421; DB08474; DB08663; DB08664; DB08686)	97.98
16	drugbank_target|P04584	-	1464	tr|Q72874|Q72874_9	-	99	8.599999999999999e-41	136.4	1.0	2	2	3.3	920.0	-1.6	0.1	44	81	1110	1148	1096	1159	0.78	Gag-Pol polyprotein (DB02428; DB04490; DB07581; DB07634; DB08231; DB08274; DB08286; DB08421; DB08474; DB08663; DB08664; DB08686)	38.38
17	drugbank_target|P05896	-	1448	tr|Q72874|Q72874_9	-	99	1.2e-40	136.0	0.1	1	3	4.4e-43	1.2e-40	136.0	0.1	1	98	498	595	498	596	0.99	Gag-Pol polyprotein (DB04191)	97.98
18	drugbank_target|P05896	-	1448	tr|Q72874|Q72874_9	-	99	1.2e-40	136.0	0.1	2	3	6.6	1800.0	-2.6	0.2	30	71	923	967	922	979	0.77	Gag-Pol polyprotein (DB04191)	44.44
19	drugbank_target|P05896	-	1448	tr|Q72874|Q72874_9	-	99	1.2e-40	136.0	0.1	3	3	5.7	1600.0	-2.4	0.0	35	60	1411	1436	1401	1439	0.75	Gag-Pol polyprotein (DB04191)	25.25
20	drugbank_target|P03355	-	1738	tr|Q72874|Q72874_9	-	99	6.7e-30	101.5	0.0	1	1	5.5e-32	1.4999999999999998e-29	100.4	0.0	8	99	549	641	547	641	0.99	Gag-Pol polyprotein (DB07499; DB08331)	92.93
21	drugbank_target|P03371	-	1145	tr|Q72874|Q72874_9	-	99	6.800000000000001e-29	98.3	0.6	1	1	6e-31	1.6999999999999998e-28	97.0	0.6	4	97	84	182	82	184	0.92	Pol polyprotein (DB03413)	98.99
22	drugbank_target|P16088	-	1124	tr|Q72874|Q72874_9	-	99	1.9000000000000001e-25	87.2	0.1	1	1	1.8e-27	5.1e-25	85.8	0.1	3	88	46	143	44	153	0.86	Pol polyprotein (DB01891; DB02333; DB03435; DB03800; DB07365; DB08253)	97.98
23	drugbank_target|Q04095	-	1603	tr|Q72874|Q72874_9	-	99	6.1e-20	69.5	0.0	1	2	1.5e-21	4.3e-19	66.8	0.0	18	97	607	698	595	700	0.93	Gag-Pro-Pol polyprotein (DB02413)	91.92
24	drugbank_target|Q04095	-	1603	tr|Q72874|Q72874_9	-	99	6.1e-20	69.5	0.0	2	2	1.8	500.0	-0.8	0.0	11	59	1387	1435	1381	1449	0.83	Gag-Pro-Pol polyprotein (DB02413)	48.48
